recipe_id,dish_name,retrieval_text
recipe_0001,番茄炒蛋盖饭,"菜名：番茄炒蛋盖饭
别名：西红柿炒鸡蛋盖饭
地区风格：家常
类型：主食
难度：简单
适合人数：2
耗时：20分钟
主食材：番茄，鸡蛋，米饭
食材：米饭，鸡蛋，番茄，小葱
调味：盐，糖，生抽，油
口味：酸甜，咸香
简介：经典家常盖饭，酸甜开胃，简单快手，适合搭配米饭。
步骤：番茄洗净切块，鸡蛋打散加少许盐，小葱切葱花。 热锅倒油，倒入蛋液炒熟盛出。 锅中再倒油，下番茄块翻炒出汁，加糖和生抽调味。 倒入炒好的鸡蛋，翻炒均匀，撒葱花出锅。 将番茄炒蛋盖在米饭上即可。
关键词：番茄炒蛋，西红柿炒鸡蛋，盖饭，快手菜，家常菜
"
recipe_0002,紫菜蛋花汤,"菜名：紫菜蛋花汤
别名：紫菜汤
地区风格：家常
类型：汤
难度：简单
适合人数：4
耗时：15分钟
主食材：紫菜，鸡蛋
食材：紫菜，鸡蛋，小葱
调味：盐，香油，鸡精
口味：清淡，鲜
简介：简单快捷的汤品，清淡鲜美，适合搭配主食。
步骤：紫菜撕小块，鸡蛋打散，小葱切葱花。 锅中烧水，水开后放入紫菜煮1分钟。 转小火，慢慢倒入蛋液形成蛋花。 加盐和鸡精调味，关火淋香油，撒葱花。
关键词：紫菜蛋花汤，快手汤，清淡汤，家常汤
"
recipe_0003,剩菜炒饭,"菜名：剩菜炒饭
别名：杂炒饭
地区风格：家常
类型：主食
难度：简单
适合人数：2
耗时：15分钟
主食材：剩米饭，剩菜
食材：剩米饭，剩菜（如炒肉、蔬菜），鸡蛋，小葱
调味：盐，生抽，油
口味：咸香，葱香
简介：利用冰箱剩菜快速制作的炒饭，经济实惠，味道丰富。
步骤：剩菜切小块，鸡蛋打散，小葱切葱花。 热锅倒油，炒熟鸡蛋盛出。 锅中再倒油，下剩菜翻炒，加入米饭炒散。 加生抽和盐调味，倒入鸡蛋翻炒均匀，撒葱花出锅。
关键词：剩菜炒饭，杂炒饭，冰箱剩菜，快手主食，家常炒饭
"
recipe_0004,蒜香牛肉片,"菜名：蒜香牛肉片
别名：蒜蓉牛肉
地区风格：家常
类型：热菜
难度：中等
适合人数：3
耗时：25分钟
主食材：牛肉，大蒜
食材：牛肉片，大蒜，青椒
调味：生抽，料酒，淀粉，盐，油
口味：蒜香，咸香
简介：蒜香浓郁的牛肉小炒，肉质嫩滑，适合下饭。
步骤：牛肉片用生抽、料酒、淀粉腌制10分钟，大蒜切末，青椒切丝。 热锅倒油，下蒜末爆香。 加入牛肉片快速翻炒至变色。 放入青椒丝，加盐调味，翻炒均匀出锅。
关键词：蒜香牛肉，牛肉片，蒜蓉牛肉，家常牛肉菜，下饭菜
"
recipe_0005,凉拌黄瓜,"菜名：凉拌黄瓜
别名：拍黄瓜
地区风格：家常
类型：凉菜
难度：简单
适合人数：4
耗时：10分钟
主食材：黄瓜，大蒜
食材：黄瓜，大蒜，小米辣
调味：生抽，醋，糖，香油，盐
口味：蒜香，酸辣，清淡
简介：清爽开胃的凉拌菜，简单易做，适合夏季或搭配油腻菜肴。
步骤：黄瓜洗净拍扁切段，大蒜切末，小米辣切圈。 将黄瓜放入碗中，加蒜末、小米辣和所有调味料。 拌匀后静置2分钟入味即可。
关键词：凉拌黄瓜，拍黄瓜，凉菜，快手凉菜，家常凉拌
"
recipe_0006,麻婆豆腐,"菜名：麻婆豆腐
别名：麻婆豆腐
地区风格：川菜家常
类型：热菜
难度：简单
适合人数：3
耗时：20分钟
主食材：豆腐，猪肉末，郫县豆瓣酱
食材：嫩豆腐，猪肉末，蒜末，姜末，葱花
调味：郫县豆瓣酱，生抽，料酒，花椒粉，水淀粉，盐，食用油
口味：咸香，香辣
简介：经典川菜，麻辣鲜香，豆腐嫩滑，非常下饭。
步骤：豆腐切小块，焯水1分钟捞出沥干。 热锅倒油，下肉末炒至变色，加姜蒜末炒香。 加入豆瓣酱炒出红油，倒入豆腐轻轻翻炒。 加生抽、料酒、少许水，煮3分钟。 用水淀粉勾芡，撒花椒粉和葱花出锅。
关键词：麻婆豆腐，豆腐菜，川菜，下饭菜，麻辣，家常豆腐
"
recipe_0007,西红柿炒鸡蛋,"菜名：西红柿炒鸡蛋
别名：番茄炒蛋
地区风格：家常
类型：热菜
难度：简单
适合人数：2
耗时：15分钟
主食材：鸡蛋，西红柿
食材：鸡蛋，西红柿，葱花
调味：盐，糖，食用油
口味：酸甜，鲜
简介：家常快手菜，酸甜开胃，营养丰富，适合冰箱常备食材。
步骤：鸡蛋打散，加少许盐；西红柿切块。 热锅倒油，倒入蛋液炒熟盛出。 锅中再倒油，下西红柿炒软出汁。 加入炒好的鸡蛋，加盐和糖翻炒均匀。 撒葱花出锅。
关键词：西红柿炒鸡蛋，番茄炒蛋，快手菜，家常菜，剩菜友好，鸡蛋菜
"
recipe_0008,鱼香茄子,"菜名：鱼香茄子
别名：鱼香茄子
地区风格：川菜家常
类型：热菜
难度：中等
适合人数：3
耗时：25分钟
主食材：茄子，猪肉末，郫县豆瓣酱
食材：茄子，猪肉末，蒜末，姜末，葱花
调味：郫县豆瓣酱，生抽，醋，糖，水淀粉，食用油
口味：咸香，酸甜
简介：川味茄子菜，鱼香味浓，茄子软糯入味，超级下饭。
步骤：茄子切条，用盐腌10分钟挤干水分。 热锅倒油，下茄子炒软盛出。 锅中再倒油，下肉末炒变色，加姜蒜末和豆瓣酱炒香。 倒入茄子，加生抽、糖、醋翻炒均匀。 用水淀粉勾芡，撒葱花出锅。
关键词：鱼香茄子，茄子菜，川菜，下饭菜，家常茄子，鱼香味
"
recipe_0009,清炒西兰花,"菜名：清炒西兰花
别名：蒜蓉西兰花
地区风格：家常
类型：热菜
难度：简单
适合人数：2
耗时：15分钟
主食材：西兰花，蒜
食材：西兰花，蒜末
调味：盐，食用油
口味：清淡，鲜
简介：简单健康的绿叶菜，蒜香浓郁，口感清脆，适合搭配荤菜。
步骤：西兰花掰成小朵，焯水2分钟捞出沥干。 热锅倒油，下蒜末炒香。 倒入西兰花快速翻炒。 加盐调味，炒匀出锅。
关键词：清炒西兰花，蒜蓉西兰花，绿叶菜，快手菜，清淡菜，家常蔬菜
"
recipe_0010,红烧带鱼,"菜名：红烧带鱼
别名：红烧带鱼
地区风格：江浙家常
类型：热菜
难度：中等
适合人数：3
耗时：30分钟
主食材：带鱼
食材：带鱼，姜片，葱段
调味：生抽，老抽，料酒，糖，盐，食用油
口味：酱香，鲜
简介：江浙家常鱼菜，带鱼红烧后酱香浓郁，肉质鲜嫩，很受欢迎。
步骤：带鱼处理干净切段，用料酒和姜片腌10分钟。 热锅倒油，下带鱼煎至两面金黄。 加入生抽、老抽、糖、少许水，烧开转小火炖10分钟。 加盐调味，大火收汁，撒葱段出锅。
关键词：红烧带鱼，带鱼菜，鱼虾类，家常鱼，红烧菜，江浙菜
"
